age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25.0,0,226802,3,7,2,7,1,4,1,0,0,40,0,0
38.0,0,89814,4,9,0,9,2,0,1,0,0,50,0,0
28.0,4,336951,6,12,0,12,2,0,1,0,0,40,0,1
44.0,0,160323,1,10,0,7,2,4,1,7688,0,40,0,1
34.0,0,198693,13,6,2,2,3,0,1,0,0,30,0,0
63.0,1,104626,5,15,0,5,2,0,1,3103,0,32,0,1
24.0,0,369667,1,10,2,2,5,0,0,0,0,40,0,0
55.0,0,104996,9,4,0,1,2,0,1,0,0,10,0,0
65.0,0,184454,4,9,0,7,2,0,1,6418,0,40,0,1
36.0,3,212465,0,13,0,8,2,0,1,0,0,40,0,0
26.0,0,82091,4,9,2,8,3,0,0,0,0,39,0,0
48.0,0,279724,4,9,0,7,2,0,1,3103,0,48,0,1
43.0,0,346189,11,14,0,4,2,0,1,0,0,50,0,1
20.0,5,444554,1,10,2,2,1,0,1,0,0,25,0,0
43.0,0,128354,4,9,0,8,0,0,0,0,0,30,0,0
37.0,0,60548,4,9,4,7,5,0,0,0,0,20,0,0
34.0,0,107914,0,13,0,0,2,0,1,0,0,47,0,1
34.0,0,238588,1,10,2,2,1,4,0,0,0,35,0,0
25.0,0,220931,0,13,2,5,3,0,1,0,0,43,38,0
25.0,0,205947,0,13,0,5,2,0,1,0,0,40,0,0
45.0,1,432824,4,9,0,1,2,0,1,7298,0,90,0,1
22.0,0,236427,4,9,2,8,1,0,1,0,0,20,0,0
23.0,0,134446,4,9,3,7,5,4,1,0,0,54,0,0
54.0,0,99516,4,9,0,1,2,0,1,0,0,35,0,0
32.0,1,109282,1,10,2,5,3,0,1,0,0,60,0,0
46.0,5,106444,1,10,0,4,2,4,1,7688,0,38,0,1
56.0,1,186651,3,7,4,2,5,0,0,0,0,50,0,0
24.0,1,188274,0,13,2,3,3,0,1,0,0,50,0,0
23.0,4,258120,1,10,0,12,2,0,1,0,0,40,0,0
26.0,0,43311,4,9,1,4,5,0,0,0,0,40,0,0
36.0,4,403681,0,13,0,5,2,0,1,0,0,40,0,1
22.0,0,248446,15,3,2,11,3,0,1,0,0,50,31,0
17.0,0,269430,13,6,2,7,3,0,1,0,0,40,0,0
20.0,0,257509,4,9,2,1,1,0,1,0,0,40,0,0
65.0,0,136384,11,14,0,5,2,0,1,0,0,50,0,1
44.0,2,120277,7,11,0,3,2,0,1,0,0,45,0,1
36.0,0,465326,4,9,0,9,2,0,1,0,0,40,0,0
29.0,0,103634,3,7,0,2,2,0,1,0,0,40,0,0
20.0,5,138371,1,10,2,9,1,0,1,0,0,32,0,0
28.0,0,242832,7,11,0,5,0,0,0,0,0,36,0,1
39.0,0,290208,9,4,0,1,2,0,1,0,0,40,20,0
54.0,0,186272,1,10,0,10,2,0,1,3908,0,50,0,0
52.0,0,201062,3,7,3,11,3,4,0,0,0,18,0,0
56.0,2,131916,4,9,4,4,3,0,0,0,0,50,0,0
18.0,0,54440,1,10,2,2,1,0,1,0,0,20,0,0
39.0,0,280215,4,9,1,6,1,4,1,0,0,40,0,0
21.0,0,214399,1,10,2,2,1,0,0,0,1721,24,0,0
22.0,0,54164,4,9,2,2,3,0,1,14084,0,60,0,1
38.0,0,219446,8,5,5,4,3,0,1,0,0,54,20,0
21.0,0,110677,1,10,2,8,1,0,0,0,0,40,0,0
63.0,0,145985,4,9,0,1,2,0,1,0,0,40,0,0
34.0,4,382078,0,13,0,4,2,0,1,3103,0,50,0,1
42.0,2,170721,4,9,0,4,2,0,1,5178,0,50,0,1
